"Year","Mean","Min","Max","Type"
2074,1.54225,0,5.875,"Current withdrawal"
2075,1.54075,0,5.278,"Current withdrawal"
2076,1.3485,0,3.988,"Current withdrawal"
2077,1.52275,0,5.085,"Current withdrawal"
2078,1.0005,0,3.962,"Current withdrawal"
2079,1.0175,0,4.07,"Current withdrawal"
2080,1.2135,0,4.306,"Current withdrawal"
2081,0.63725,0,2.549,"Current withdrawal"
2082,0.93825,0,3.337,"Current withdrawal"
2083,1.14875,0,4.595,"Current withdrawal"
2084,0.58175,0,1.537,"Current withdrawal"
2085,0.94575,0,3.663,"Current withdrawal"
2086,1.01475,0,4.059,"Current withdrawal"
2087,1.1885,0,4.754,"Current withdrawal"
2088,0.95475,0,3.647,"Current withdrawal"
2089,0.65925,0,2.637,"Current withdrawal"
2090,0.74425,0,2.977,"Current withdrawal"
2091,0.49975,0,1.999,"Current withdrawal"
2092,0.63375,0,2.535,"Current withdrawal"
2093,0.6855,0,2.742,"Current withdrawal"
2094,1.16325,0,4.653,"Current withdrawal"
2095,0.716,0,2.864,"Current withdrawal"
2096,1.10425,0,4.417,"Current withdrawal"
2097,1.02675,0,4.107,"Current withdrawal"
2098,1.105,0,4.42,"Current withdrawal"
2099,0.79925,0,3.197,"Current withdrawal"
